title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Australia,18.683045016112164,28.840997,165.0,11.0,2008.0,1,17.718573602560923
After Earth,18.683045016112164,42.840582,100.0,5.0,2013.0,3,19.312035658464264
Dinosaur,18.663626930405893,26.548594,82.0,5.0,2000.0,2,19.685507971453088
Night at the Museum: Secret of the Tomb,18.65969765229688,115.597753,97.0,12.0,2014.0,4,19.671797452390663
Megamind,18.683045016112164,68.757242,95.0,10.0,2010.0,5,19.589711759536705
Harry Potter and the Philosopher's Stone,18.643824303266577,109.984351,152.0,11.0,2001.0,3,20.699460270589174
R.I.P.D.,18.683045016112164,39.448066,96.0,7.0,2013.0,4,17.936959472599376
Pirates of the Caribbean: The Curse of the Black Pearl,18.757152987716434,271.972889,143.0,7.0,2003.0,3,20.30016293085726
The Hunger Games: Mockingjay - Part 1,18.643824303266577,206.227151,123.0,11.0,2014.0,3,20.438380157606982
The Da Vinci Code,18.643824303266577,45.313197,149.0,5.0,2006.0,2,20.4590664877404
Rio 2,18.450239555902648,42.40024,102.0,3.0,2014.0,4,20.030495457388053
X2,18.5159909328476,2.871739,133.0,4.0,2003.0,4,19.826070497042362
Fast Five,18.643824303266577,7.255718,130.0,4.0,2011.0,3,20.255080834595837
Sherlock Holmes: A Game of Shadows,18.643824303266577,81.499621,129.0,11.0,2011.0,4,19.62849117814803
Clash of the Titans,18.643824303266577,47.686442,106.0,4.0,2010.0,3,19.26531709423308
Total Recall,17.989897843244528,43.129703,113.0,6.0,1990.0,3,19.381248315968882
The 13th Warrior,18.8906843794481,27.220157,102.0,8.0,1999.0,3,17.93777666051572
The Bourne Legacy,18.683045016112164,90.33681,120.0,8.0,2012.0,2,19.4379851379909
Batman & Robin,18.643824303266577,50.073575,125.0,6.0,1997.0,3,19.28865111788086
How the Grinch Stole Christmas,18.627694921466773,45.419668,104.0,11.0,2000.0,3,19.659464757689904
The Day After Tomorrow,18.643824303266577,41.380094,124.0,5.0,2004.0,4,20.114960420300196
Mission: Impossible II,18.643824303266577,54.931334,123.0,5.0,2000.0,3,20.118840098048352
The Perfect Storm,18.603002309079653,25.752118,130.0,3.0,2000.0,1,19.601661151351784
Fantastic 4: Rise of the Silver Surfer,18.683045016112164,60.810723,92.0,6.0,2007.0,4,19.48210250577697
Life of Pi,18.603002309079653,51.328145,127.0,11.0,2012.0,3,20.22735602727465
Ghost Rider,18.5159909328476,46.834704,114.0,2.0,2007.0,4,19.248089524220738
Jason Bourne,18.603002309079653,62.641286,123.0,7.0,2016.0,2,19.844956865944873
Charlie's Angels: Full Throttle,18.603002309079653,33.616115,106.0,6.0,2003.0,3,19.373017111443918
Prometheus,18.683045016112164,68.889395,124.0,5.0,2012.0,3,19.814869221880382
Stuart Little 2,18.603002309079653,27.990284,78.0,7.0,2002.0,4,18.95105488626105
Elysium,18.560442695023177,67.33767,109.0,8.0,2013.0,4,19.471994209349184
The Chronicles of Riddick,18.46947091764561,27.835436,119.0,6.0,2004.0,2,18.567139637692993
RoboCop,18.603002309079653,66.757869,102.0,1.0,2014.0,2,19.307291206128102
Speed Racer,18.603002309079653,17.060695,135.0,5.0,2008.0,3,18.358228226927913
How Do You Know,18.603002309079653,11.137655,121.0,12.0,2010.0,3,17.70055094473853
Knight and Day,18.57768450130904,44.906918,109.0,6.0,2010.0,2,19.383589499749352
Oblivion,18.603002309079653,67.698004,124.0,4.0,2013.0,4,19.47209161123061
Star Wars: Episode III - Revenge of the Sith,18.542898385526172,44.108427,140.0,5.0,2005.0,3,20.560746908625106
Star Wars: Episode II - Attack of the Clones,18.603002309079653,43.987061,142.0,5.0,2002.0,3,20.291556844485267
"Monsters, Inc.",18.560442695023177,106.815545,92.0,11.0,2001.0,3,20.148463768714823
The Wolverine,18.603002309079653,15.953444,126.0,7.0,2013.0,4,19.844850379875297
Star Wars: Episode I - The Phantom Menace,18.560442695023177,54.035265,136.0,5.0,1999.0,3,20.644566249133433
The Croods,18.72078534381011,64.183321,98.0,3.0,2013.0,5,20.18742821996849
Asterix at the Olympic Games,18.392799663847644,20.344364,116.0,1.0,2008.0,4,18.70510753120793
Windtalkers,18.560442695023177,18.714197,134.0,6.0,2002.0,4,18.1674421714069
The Huntsman: Winter's War,18.560442695023177,60.467984,114.0,4.0,2016.0,3,18.91904199314391
